date,weight,note
2026-03-11,59.55,
2026-03-12,59.15,
2026-03-13,59.20,59.19 (3.11-3.14)
2026-03-14,59.50,
2026-03-15,57.95,
2026-03-16,58.7,
2026-03-17,59.2,59.07 (3.15-3.20)
2026-03-18,59.00,
2026-03-19,59.30,
2026-03-20,59.15,
2026-03-21,58.85,
2026-03-22,58.4,
2026-03-23,58.9,58.82 (3.21-3.25)
2026-03-24,59.25,
2026-03-25,58.7,
2026-03-26,59.4,
2026-03-27,58.25,
2026-03-28,58.75,58.8 (3.26-3.31)
2026-03-29,58.75,
2026-03-30,58.9,
2026-04-01,58.8,
2026-04-02,59.2,
2026-04-03,58.9,59.2 (4.1-4.7)
2026-04-04,59.6,
2026-04-05,59.7,
2026-04-06,59.1,
2026-04-07,59.7,
2026-04-08,59.2,
2026-04-09,59.4,
2026-04-10,59.1,59.11 (4.8-4.14)
2026-04-11,58.9,
2026-04-12,59.0,
2026-04-13,59.0,
2026-04-14,59.2,
2026-04-15,59,
2026-04-16,58.85,
2026-04-17,59.4,
2026-04-18,58.75,
2026-04-19,59.1,
2026-04-20,58.9,
2026-04-21,59.2,
2026-04-22,59.85,
2026-04-23,59.9,
2026-04-24,59.4,
2026-04-25,59.2,
2026-04-26,59.4,
2026-04-27,59.9,
2026-04-28,59.7,
